edge_id,u,v,dist,edge_type,accessible_nodes
alight_edge_000001,ride_245366634,ew_245366634,0.0,alight,ew_edge_000001;ew_edge_000003;ew_edge_000005;transfer_edge_000001
alight_edge_000002,ride_245366694,ew_245366694,0.0,alight,ew_edge_000007;ew_edge_000009;ew_edge_000011;transfer_edge_000002
alight_edge_000003,ride_333797343,ew_333797343,0.0,alight,ew_edge_000013;ew_edge_000015;ew_edge_000017;transfer_edge_000003
alight_edge_000004,ride_333797496,ew_333797496,0.0,alight,ew_edge_000019;ew_edge_000021;ew_edge_000023;ew_edge_000025;transfer_edge_000004
alight_edge_000005,ride_333801115,ew_333801115,0.0,alight,ew_edge_000033;ew_edge_000035;ew_edge_000037;transfer_edge_000005
alight_edge_000006,ride_333801534,ew_333801534,0.0,alight,ew_edge_000039;ew_edge_000041;ew_edge_000043;transfer_edge_000006
alight_edge_000007,ride_333802153,ew_333802153,0.0,alight,ew_edge_000045;ew_edge_000047;ew_edge_000049;transfer_edge_000007
alight_edge_000008,ride_333802241,ew_333802241,0.0,alight,ew_edge_000051;ew_edge_000053;ew_edge_000055;transfer_edge_000008
alight_edge_000009,ride_333802343,ew_333802343,0.0,alight,ew_edge_000061;ew_edge_000063;ew_edge_000065;ew_edge_000067;transfer_edge_000009
alight_edge_000010,ride_333802599,ew_333802599,0.0,alight,ew_edge_000069;ew_edge_000071;ew_edge_000073;ew_edge_000075;transfer_edge_000010
alight_edge_000011,ride_333802982,ew_333802982,0.0,alight,ew_edge_000077;ew_edge_000079;ew_edge_000081;transfer_edge_000011
alight_edge_000012,ride_333803154,ew_333803154,0.0,alight,ew_edge_000083;ew_edge_000085;ew_edge_000087;transfer_edge_000012
alight_edge_000013,ride_333803181,ew_333803181,0.0,alight,ew_edge_000089;ew_edge_000091;ew_edge_000093;transfer_edge_000013
alight_edge_000014,ride_333803294,ew_333803294,0.0,alight,ew_edge_000095;ew_edge_000097;ew_edge_000099;transfer_edge_000014
alight_edge_000015,ride_333804172,ew_333804172,0.0,alight,ew_edge_000107;ew_edge_000109;ew_edge_000111;transfer_edge_000015
alight_edge_000016,ride_333806758,ew_333806758,0.0,alight,ew_edge_000113;ew_edge_000115;ew_edge_000117;transfer_edge_000016
alight_edge_000017,ride_333811802,ew_333811802,0.0,alight,ew_edge_000119;ew_edge_000121;ew_edge_000123;transfer_edge_000017
alight_edge_000018,ride_333816262,ew_333816262,0.0,alight,ew_edge_000125;ew_edge_000127;ew_edge_000129;transfer_edge_000018
alight_edge_000019,ride_333820518,ew_333820518,0.0,alight,ew_edge_000137;ew_edge_000139;ew_edge_000141;ew_edge_000143;transfer_edge_000019
alight_edge_000020,ride_333825267,ew_333825267,0.0,alight,ew_edge_000145;ew_edge_000147;ew_edge_000149;transfer_edge_000020
alight_edge_000021,ride_333827569,ew_333827569,0.0,alight,ew_edge_000151;ew_edge_000153;ew_edge_000155;transfer_edge_000021
alight_edge_000022,ride_333828306,ew_333828306,0.0,alight,ew_edge_000157;ew_edge_000159;ew_edge_000161;ew_edge_000163;transfer_edge_000022
alight_edge_000023,ride_333833129,ew_333833129,0.0,alight,ew_edge_000165;ew_edge_000167;ew_edge_000169;ew_edge_000171;transfer_edge_000023
alight_edge_000024,ride_333837298,ew_333837298,0.0,alight,ew_edge_000084;ew_edge_000177;ew_edge_000179;transfer_edge_000024
alight_edge_000025,ride_334408953,ew_334408953,0.0,alight,ew_edge_000181;ew_edge_000183;ew_edge_000185;ew_edge_000187;transfer_edge_000025
alight_edge_000026,ride_334408954,ew_334408954,0.0,alight,ew_edge_000182;ew_edge_000189;ew_edge_000191;ew_edge_000193;transfer_edge_000026
alight_edge_000027,ride_334408955,ew_334408955,0.0,alight,ew_edge_000195;ew_edge_000197;ew_edge_000199;transfer_edge_000027
alight_edge_000028,ride_334408956,ew_334408956,0.0,alight,ew_edge_000201;ew_edge_000203;ew_edge_000205;transfer_edge_000028
alight_edge_000029,ride_334408957,ew_334408957,0.0,alight,ew_edge_000202;ew_edge_000207;ew_edge_000209;transfer_edge_000029
alight_edge_000030,ride_334408960,ew_334408960,0.0,alight,ew_edge_000215;ew_edge_000217;ew_edge_000219;ew_edge_000221;transfer_edge_000030
alight_edge_000031,ride_334408961,ew_334408961,0.0,alight,ew_edge_000223;ew_edge_000225;ew_edge_000227;ew_edge_000229;transfer_edge_000031
alight_edge_000032,ride_334408962,ew_334408962,0.0,alight,ew_edge_000231;ew_edge_000233;ew_edge_000235;ew_edge_000237;transfer_edge_000032
alight_edge_000033,ride_334408965,ew_334408965,0.0,alight,ew_edge_000239;ew_edge_000241;ew_edge_000243;transfer_edge_000033
alight_edge_000034,ride_334408969,ew_334408969,0.0,alight,ew_edge_000224;ew_edge_000232;ew_edge_000245;transfer_edge_000034
alight_edge_000035,ride_334408970,ew_334408970,0.0,alight,ew_edge_000247;ew_edge_000249;ew_edge_000251;ew_edge_000253;transfer_edge_000035
alight_edge_000036,ride_334408974,ew_334408974,0.0,alight,ew_edge_000255;ew_edge_000257;ew_edge_000259;ew_edge_000261;transfer_edge_000036
alight_edge_000037,ride_765385692,ew_765385692,0.0,alight,ew_edge_000028;ew_edge_000263;ew_edge_000265;ew_edge_000267;transfer_edge_000037
alight_edge_000038,ride_1030432186,ew_1030432186,0.0,alight,ew_edge_000275;ew_edge_000277;ew_edge_000279;ew_edge_000281;transfer_edge_000038
alight_edge_000039,ride_1030432308,ew_1030432308,0.0,alight,ew_edge_000283;ew_edge_000285;ew_edge_000287;transfer_edge_000039
alight_edge_000040,ride_1030432348,ew_1030432348,0.0,alight,ew_edge_000289;ew_edge_000291;ew_edge_000293;transfer_edge_000040
alight_edge_000041,ride_1030432374,ew_1030432374,0.0,alight,ew_edge_000295;ew_edge_000297;ew_edge_000299;transfer_edge_000041
alight_edge_000042,ride_1030432456,ew_1030432456,0.0,alight,ew_edge_000301;ew_edge_000303;ew_edge_000305;transfer_edge_000042
alight_edge_000043,ride_1030432486,ew_1030432486,0.0,alight,ew_edge_000307;ew_edge_000309;ew_edge_000311;ew_edge_000313;transfer_edge_000043
alight_edge_000044,ride_1030432542,ew_1030432542,0.0,alight,ew_edge_000315;ew_edge_000317;ew_edge_000319;ew_edge_000321;transfer_edge_000044
alight_edge_000045,ride_1030432602,ew_1030432602,0.0,alight,ew_edge_000329;ew_edge_000331;ew_edge_000333;transfer_edge_000045
alight_edge_000046,ride_1030432722,ew_1030432722,0.0,alight,ew_edge_000335;ew_edge_000337;ew_edge_000339;ew_edge_000341;transfer_edge_000046
alight_edge_000047,ride_1030433024,ew_1030433024,0.0,alight,ew_edge_000343;ew_edge_000345;transfer_edge_000047;transfer_edge_003442;transfer_edge_003443
alight_edge_000048,ride_1030433060,ew_1030433060,0.0,alight,ew_edge_000347;ew_edge_000349;ew_edge_000351;transfer_edge_000048
alight_edge_000049,ride_1030433249,ew_1030433249,0.0,alight,ew_edge_000353;ew_edge_000355;ew_edge_000357;ew_edge_000359;transfer_edge_000049
alight_edge_000050,ride_1030433549,ew_1030433549,0.0,alight,ew_edge_000367;ew_edge_000369;ew_edge_000371;transfer_edge_000050
alight_edge_000051,ride_1030433795,ew_1030433795,0.0,alight,ew_edge_000373;ew_edge_000375;ew_edge_000377;transfer_edge_000051
alight_edge_000052,ride_1030433917,ew_1030433917,0.0,alight,ew_edge_000379;ew_edge_000381;ew_edge_000383;ew_edge_000385;transfer_edge_000052
alight_edge_000053,ride_1030434062,ew_1030434062,0.0,alight,ew_edge_000387;ew_edge_000389;ew_edge_000391;transfer_edge_000053
alight_edge_000054,ride_1030434227,ew_1030434227,0.0,alight,ew_edge_000393;ew_edge_000395;ew_edge_000397;ew_edge_000399;transfer_edge_000054
alight_edge_000055,ride_1030434296,ew_1030434296,0.0,alight,ew_edge_000401;ew_edge_000403;ew_edge_000405;ew_edge_000407;transfer_edge_000055
alight_edge_000056,ride_1030434332,ew_1030434332,0.0,alight,ew_edge_000034;ew_edge_000409;ew_edge_000411;transfer_edge_000056
alight_edge_000057,ride_1030434357,ew_1030434357,0.0,alight,ew_edge_000413;ew_edge_000415;ew_edge_000417;transfer_edge_000057
alight_edge_000058,ride_1030434443,ew_1030434443,0.0,alight,ew_edge_000324;ew_edge_000362;ew_edge_000419;ew_edge_000421;transfer_edge_000058
alight_edge_000059,ride_1030434458,ew_1030434458,0.0,alight,ew_edge_000423;ew_edge_000425;ew_edge_000427;transfer_edge_000059
alight_edge_000060,ride_1030434476,ew_1030434476,0.0,alight,ew_edge_000344;ew_edge_000429;ew_edge_000431;transfer_edge_000060
alight_edge_000061,ride_1030434487,ew_1030434487,0.0,alight,ew_edge_000433;ew_edge_000435;ew_edge_000437;ew_edge_000439;transfer_edge_000061
alight_edge_000062,ride_1030434574,ew_1030434574,0.0,alight,ew_edge_000441;ew_edge_000443;ew_edge_000445;ew_edge_000447;transfer_edge_000062
alight_edge_000063,ride_1030434607,ew_1030434607,0.0,alight,ew_edge_000414;ew_edge_000449;ew_edge_000451;transfer_edge_000063
alight_edge_000064,ride_1030434633,ew_1030434633,0.0,alight,ew_edge_000138;ew_edge_000453;ew_edge_000455;transfer_edge_000064
alight_edge_000065,ride_1030434659,ew_1030434659,0.0,alight,ew_edge_000020;ew_edge_000070;ew_edge_000457;ew_edge_000459;transfer_edge_000065
alight_edge_000066,ride_1030435099,ew_1030435099,0.0,alight,ew_edge_000461;ew_edge_000463;ew_edge_000465;ew_edge_000467;transfer_edge_000066
alight_edge_000067,ride_1030435276,ew_1030435276,0.0,alight,ew_edge_000354;ew_edge_000469;ew_edge_000471;transfer_edge_000067
alight_edge_000068,ride_1030435450,ew_1030435450,0.0,alight,ew_edge_000326;ew_edge_000388;ew_edge_000442;ew_edge_000473;transfer_edge_000068
alight_edge_000069,ride_1030435789,ew_1030435789,0.0,alight,ew_edge_000208;ew_edge_000475;ew_edge_000477;ew_edge_000479;transfer_edge_000069
alight_edge_000070,ride_1030435809,ew_1030435809,0.0,alight,ew_edge_000481;ew_edge_000483;ew_edge_000485;transfer_edge_000070
alight_edge_000071,ride_1030435912,ew_1030435912,0.0,alight,ew_edge_000487;ew_edge_000489;ew_edge_000491;ew_edge_000493;transfer_edge_000071
alight_edge_000072,ride_1030436061,ew_1030436061,0.0,alight,ew_edge_000495;ew_edge_000497;ew_edge_000499;ew_edge_000501;transfer_edge_000072
alight_edge_000073,ride_1030436586,ew_1030436586,0.0,alight,ew_edge_000470;ew_edge_000503;ew_edge_000505;ew_edge_000507;transfer_edge_000073
alight_edge_000074,ride_1030441975,ew_1030441975,0.0,alight,ew_edge_000509;ew_edge_000511;ew_edge_000513;transfer_edge_000074
alight_edge_000075,ride_1030441976,ew_1030441976,0.0,alight,ew_edge_000515;ew_edge_000517;ew_edge_000519;transfer_edge_000075
alight_edge_000076,ride_1030441990,ew_1030441990,0.0,alight,ew_edge_000521;ew_edge_000523;ew_edge_000525;ew_edge_000527;transfer_edge_000076
alight_edge_000077,ride_1030442019,ew_1030442019,0.0,alight,ew_edge_000535;transfer_edge_000077
alight_edge_000078,ride_1030442035,ew_1030442035,0.0,alight,ew_edge_000537;ew_edge_000539;ew_edge_000541;transfer_edge_000078
alight_edge_000079,ride_1030442040,ew_1030442040,0.0,alight,ew_edge_000543;ew_edge_000545;ew_edge_000547;transfer_edge_000079
alight_edge_000080,ride_1030442058,ew_1030442058,0.0,alight,ew_edge_000549;ew_edge_000551;ew_edge_000553;transfer_edge_000080
alight_edge_000081,ride_1030442063,ew_1030442063,0.0,alight,ew_edge_000555;ew_edge_000557;ew_edge_000559;transfer_edge_000081
alight_edge_000082,ride_1030442070,ew_1030442070,0.0,alight,ew_edge_000530;transfer_edge_000082
alight_edge_000083,ride_1067667119,ew_1067667119,0.0,alight,ew_edge_000561;ew_edge_000563;ew_edge_000565;ew_edge_000567;transfer_edge_000083
alight_edge_000084,ride_1067667176,ew_1067667176,0.0,alight,ew_edge_000569;ew_edge_000571;ew_edge_000573;ew_edge_000575;transfer_edge_000084
alight_edge_000085,ride_1067667178,ew_1067667178,0.0,alight,ew_edge_000577;ew_edge_000579;ew_edge_000581;ew_edge_000583;transfer_edge_000085
alight_edge_000086,ride_1067687681,ew_1067687681,0.0,alight,ew_edge_000585;ew_edge_000587;ew_edge_000589;ew_edge_000591;transfer_edge_000086
alight_edge_000087,ride_1067687745,ew_1067687745,0.0,alight,ew_edge_000593;ew_edge_000595;ew_edge_000597;transfer_edge_000087
alight_edge_000088,ride_1067687748,ew_1067687748,0.0,alight,ew_edge_000599;ew_edge_000601;ew_edge_000603;ew_edge_000605;transfer_edge_000088
alight_edge_000089,ride_1097695898,ew_1097695898,0.0,alight,ew_edge_000196;ew_edge_000607;ew_edge_000609;transfer_edge_000089
alight_edge_000090,ride_1097695904,ew_1097695904,0.0,alight,ew_edge_000516;ew_edge_000550;ew_edge_000611;transfer_edge_000090
alight_edge_000091,ride_1097695915,ew_1097695915,0.0,alight,ew_edge_000612;ew_edge_000613;ew_edge_000615;ew_edge_000617;transfer_edge_000091
alight_edge_000092,ride_1097695920,ew_1097695920,0.0,alight,ew_edge_000619;ew_edge_000621;ew_edge_000623;transfer_edge_000092
alight_edge_000093,ride_1097695923,ew_1097695923,0.0,alight,ew_edge_000625;transfer_edge_000093
alight_edge_000094,ride_1097695924,ew_1097695924,0.0,alight,ew_edge_000608;ew_edge_000626;ew_edge_000627;ew_edge_000629;transfer_edge_000094
alight_edge_000095,ride_1097695926,ew_1097695926,0.0,alight,ew_edge_000628;transfer_edge_000095
alight_edge_000096,ride_1097701580,ew_1097701580,0.0,alight,ew_edge_000631;ew_edge_000633;ew_edge_000635;transfer_edge_000096
