edge_id,u,v,dist,edge_type,accessible_nodes
direct_edge_000001,sw_245366634,ew_245366634,0.0,direct,ew_edge_000001;ew_edge_000003;ew_edge_000005;transfer_edge_000001
direct_edge_000002,sw_245366694,ew_245366694,0.0,direct,ew_edge_000007;ew_edge_000009;ew_edge_000011;transfer_edge_000002
direct_edge_000003,sw_333797343,ew_333797343,0.0,direct,ew_edge_000013;ew_edge_000015;ew_edge_000017;transfer_edge_000003
direct_edge_000004,sw_333797496,ew_333797496,0.0,direct,ew_edge_000019;ew_edge_000021;ew_edge_000023;ew_edge_000025;transfer_edge_000004
direct_edge_000005,sw_333797842,ew_333797842,0.0,direct,ew_edge_000027;ew_edge_000029;ew_edge_000031
direct_edge_000006,sw_333801115,ew_333801115,0.0,direct,ew_edge_000033;ew_edge_000035;ew_edge_000037;transfer_edge_000005
direct_edge_000007,sw_333801534,ew_333801534,0.0,direct,ew_edge_000039;ew_edge_000041;ew_edge_000043;transfer_edge_000006
direct_edge_000008,sw_333802153,ew_333802153,0.0,direct,ew_edge_000045;ew_edge_000047;ew_edge_000049;transfer_edge_000007
direct_edge_000009,sw_333802241,ew_333802241,0.0,direct,ew_edge_000051;ew_edge_000053;ew_edge_000055;transfer_edge_000008
direct_edge_000010,sw_333802287,ew_333802287,0.0,direct,ew_edge_000057;ew_edge_000059
direct_edge_000011,sw_333802343,ew_333802343,0.0,direct,ew_edge_000061;ew_edge_000063;ew_edge_000065;ew_edge_000067;transfer_edge_000009
direct_edge_000012,sw_333802599,ew_333802599,0.0,direct,ew_edge_000069;ew_edge_000071;ew_edge_000073;ew_edge_000075;transfer_edge_000010
direct_edge_000013,sw_333802982,ew_333802982,0.0,direct,ew_edge_000077;ew_edge_000079;ew_edge_000081;transfer_edge_000011
direct_edge_000014,sw_333803154,ew_333803154,0.0,direct,ew_edge_000083;ew_edge_000085;ew_edge_000087;transfer_edge_000012
direct_edge_000015,sw_333803181,ew_333803181,0.0,direct,ew_edge_000089;ew_edge_000091;ew_edge_000093;transfer_edge_000013
direct_edge_000016,sw_333803294,ew_333803294,0.0,direct,ew_edge_000095;ew_edge_000097;ew_edge_000099;transfer_edge_000014
direct_edge_000017,sw_333803513,ew_333803513,0.0,direct,ew_edge_000101;ew_edge_000103;ew_edge_000105
direct_edge_000018,sw_333804172,ew_333804172,0.0,direct,ew_edge_000107;ew_edge_000109;ew_edge_000111;transfer_edge_000015
direct_edge_000019,sw_333806758,ew_333806758,0.0,direct,ew_edge_000113;ew_edge_000115;ew_edge_000117;transfer_edge_000016
direct_edge_000020,sw_333811802,ew_333811802,0.0,direct,ew_edge_000119;ew_edge_000121;ew_edge_000123;transfer_edge_000017
