edge_id,u,v,dist,edge_type,accessible_nodes
ride_edge_000001,ride_245366634,ride_1030442070,119.98986314937447,ride,ride_edge_000002;alight_edge_000082
ride_edge_000002,ride_1030442070,ride_245366634,119.98986314937447,ride,ride_edge_000001;ride_edge_000003;ride_edge_000005;alight_edge_000001
ride_edge_000003,ride_245366634,ride_8099897878,24.990710989688935,ride,ride_edge_000004;ride_edge_007272;ride_edge_008508;alight_edge_003120
ride_edge_000004,ride_8099897878,ride_245366634,24.990710989688935,ride,ride_edge_000001;ride_edge_000003;ride_edge_000005;alight_edge_000001
ride_edge_000005,ride_245366634,ride_12599690567,190.0826470863248,ride,ride_edge_000006;alight_edge_003445
ride_edge_000006,ride_12599690567,ride_245366634,190.0826470863248,ride,ride_edge_000001;ride_edge_000003;ride_edge_000005;alight_edge_000001
ride_edge_000007,ride_245366694,ride_1030442035,75.14266418600383,ride,ride_edge_000008;ride_edge_000170;ride_edge_000475;alight_edge_000078
ride_edge_000008,ride_1030442035,ride_245366694,75.14266418600383,ride,ride_edge_000007;ride_edge_000009;ride_edge_000011;alight_edge_000002
ride_edge_000009,ride_245366694,ride_1125806257,50.89456615169887,ride,ride_edge_000010;ride_edge_001320;ride_edge_001337;alight_edge_000300
ride_edge_000010,ride_1125806257,ride_245366694,50.89456615169887,ride,ride_edge_000007;ride_edge_000009;ride_edge_000011;alight_edge_000002
ride_edge_000011,ride_245366694,ride_8024044857,83.31183091238216,ride,ride_edge_000012;ride_edge_008319;ride_edge_008321;alight_edge_002960
ride_edge_000012,ride_8024044857,ride_245366694,83.31183091238216,ride,ride_edge_000007;ride_edge_000009;ride_edge_000011;alight_edge_000002
ride_edge_000013,ride_333797343,ride_1553540725,270.3197629693353,ride,ride_edge_000014;ride_edge_003324;ride_edge_003326;alight_edge_000986
ride_edge_000014,ride_1553540725,ride_333797343,270.3197629693353,ride,ride_edge_000013;ride_edge_000015;ride_edge_000017;alight_edge_000003
ride_edge_000015,ride_333797343,ride_1553543922,53.56932970494822,ride,ride_edge_000016;alight_edge_001013
ride_edge_000016,ride_1553543922,ride_333797343,53.56932970494822,ride,ride_edge_000013;ride_edge_000015;ride_edge_000017;alight_edge_000003
ride_edge_000017,ride_333797343,ride_1553543928,25.493033707037043,ride,ride_edge_000018;ride_edge_000026;ride_edge_003387;alight_edge_001015
ride_edge_000018,ride_1553543928,ride_333797343,25.493033707037043,ride,ride_edge_000013;ride_edge_000015;ride_edge_000017;alight_edge_000003
ride_edge_000019,ride_333797496,ride_1030434659,64.46595887139867,ride,ride_edge_000020;ride_edge_000060;ride_edge_000407;ride_edge_000409;alight_edge_000065
ride_edge_000020,ride_1030434659,ride_333797496,64.46595887139867,ride,ride_edge_000019;ride_edge_000021;ride_edge_000023;ride_edge_000025;alight_edge_000004
ride_edge_000021,ride_333797496,ride_1125768537,82.28483808220633,ride,ride_edge_000022;ride_edge_001091;ride_edge_001093;alight_edge_000232
ride_edge_000022,ride_1125768537,ride_333797496,82.28483808220633,ride,ride_edge_000019;ride_edge_000021;ride_edge_000023;ride_edge_000025;alight_edge_000004
ride_edge_000023,ride_333797496,ride_1125768682,148.2702472046379,ride,ride_edge_000024;ride_edge_000138;ride_edge_001121;ride_edge_001123;alight_edge_000244
ride_edge_000024,ride_1125768682,ride_333797496,148.2702472046379,ride,ride_edge_000019;ride_edge_000021;ride_edge_000023;ride_edge_000025;alight_edge_000004
ride_edge_000025,ride_333797496,ride_1553543928,38.19160256860542,ride,ride_edge_000018;ride_edge_000026;ride_edge_003387;alight_edge_001015
ride_edge_000026,ride_1553543928,ride_333797496,38.19160256860542,ride,ride_edge_000019;ride_edge_000021;ride_edge_000023;ride_edge_000025;alight_edge_000004
ride_edge_000027,ride_333801115,ride_1030434332,58.9012569090647,ride,ride_edge_000028;ride_edge_000361;ride_edge_000363;alight_edge_000056
ride_edge_000028,ride_1030434332,ride_333801115,58.9012569090647,ride,ride_edge_000027;ride_edge_000029;ride_edge_000031;alight_edge_000005
ride_edge_000029,ride_333801115,ride_1321508554,325.21919265423264,ride,ride_edge_000030;ride_edge_001923;alight_edge_000467
ride_edge_000030,ride_1321508554,ride_333801115,325.21919265423264,ride,ride_edge_000027;ride_edge_000029;ride_edge_000031;alight_edge_000005
ride_edge_000031,ride_333801115,ride_1488495414,90.29159562597133,ride,ride_edge_000032;alight_edge_000545
ride_edge_000032,ride_1488495414,ride_333801115,90.29159562597133,ride,ride_edge_000027;ride_edge_000029;ride_edge_000031;alight_edge_000005
ride_edge_000033,ride_333801534,ride_1125755729,102.66462177172248,ride,ride_edge_000034;ride_edge_000232;ride_edge_000925;ride_edge_000927;alight_edge_000190
ride_edge_000034,ride_1125755729,ride_333801534,102.66462177172248,ride,ride_edge_000033;ride_edge_000035;ride_edge_000037;alight_edge_000006
ride_edge_000035,ride_333801534,ride_1553483288,235.05988810218793,ride,ride_edge_000036;ride_edge_003200;ride_edge_003203;ride_edge_003205;alight_edge_000943
ride_edge_000036,ride_1553483288,ride_333801534,235.05988810218793,ride,ride_edge_000033;ride_edge_000035;ride_edge_000037;alight_edge_000006
ride_edge_000037,ride_333801534,ride_1553483330,50.303157073959596,ride,ride_edge_000038;ride_edge_003212;ride_edge_003228;ride_edge_003235;alight_edge_000953
ride_edge_000038,ride_1553483330,ride_333801534,50.303157073959596,ride,ride_edge_000033;ride_edge_000035;ride_edge_000037;alight_edge_000006
ride_edge_000039,ride_333802153,ride_3027177444,332.4928554392899,ride,ride_edge_000040;ride_edge_000274;ride_edge_006419;alight_edge_002024
ride_edge_000040,ride_3027177444,ride_333802153,332.4928554392899,ride,ride_edge_000039;ride_edge_000041;ride_edge_000043;alight_edge_000007
ride_edge_000041,ride_333802153,ride_5760285712,877.7389582857705,ride,ride_edge_000042;ride_edge_006692;ride_edge_006894;alight_edge_002195
ride_edge_000042,ride_5760285712,ride_333802153,877.7389582857705,ride,ride_edge_000039;ride_edge_000041;ride_edge_000043;alight_edge_000007
ride_edge_000043,ride_333802153,ride_8074470251,329.6551632648831,ride,ride_edge_000044;ride_edge_000258;ride_edge_008460;alight_edge_003064
ride_edge_000044,ride_8074470251,ride_333802153,329.6551632648831,ride,ride_edge_000039;ride_edge_000041;ride_edge_000043;alight_edge_000007
ride_edge_000045,ride_333802241,ride_1489585291,106.74539125728609,ride,ride_edge_000046;ride_edge_001946;ride_edge_002573;alight_edge_000692
ride_edge_000046,ride_1489585291,ride_333802241,106.74539125728609,ride,ride_edge_000045;ride_edge_000047;ride_edge_000049;alight_edge_000008
ride_edge_000047,ride_333802241,ride_1489589637,138.3270828863832,ride,ride_edge_000048;ride_edge_002595;ride_edge_002597;alight_edge_000701
ride_edge_000048,ride_1489589637,ride_333802241,138.3270828863832,ride,ride_edge_000045;ride_edge_000047;ride_edge_000049;alight_edge_000008
ride_edge_000049,ride_333802241,ride_1558035074,82.93713250945935,ride,ride_edge_000050;alight_edge_001788
ride_edge_000050,ride_1558035074,ride_333802241,82.93713250945935,ride,ride_edge_000045;ride_edge_000047;ride_edge_000049;alight_edge_000008
ride_edge_000051,ride_333802343,ride_1097695920,188.78392345639426,ride,ride_edge_000052;ride_edge_000547;ride_edge_000549;alight_edge_000092
ride_edge_000052,ride_1097695920,ride_333802343,188.78392345639426,ride,ride_edge_000051;ride_edge_000053;ride_edge_000055;ride_edge_000057;alight_edge_000009
ride_edge_000053,ride_333802343,ride_1125781646,77.36840572315293,ride,ride_edge_000054;ride_edge_001210;ride_edge_001241;alight_edge_000278
ride_edge_000054,ride_1125781646,ride_333802343,77.36840572315293,ride,ride_edge_000051;ride_edge_000053;ride_edge_000055;ride_edge_000057;alight_edge_000009
ride_edge_000055,ride_333802343,ride_1125806520,81.7391832905863,ride,ride_edge_000056;ride_edge_001328;ride_edge_001358;ride_edge_001451;alight_edge_000337
ride_edge_000056,ride_1125806520,ride_333802343,81.7391832905863,ride,ride_edge_000051;ride_edge_000053;ride_edge_000055;ride_edge_000057;alight_edge_000009
ride_edge_000057,ride_333802343,ride_9560317118,110.09820506369394,ride,ride_edge_000058;ride_edge_006580;ride_edge_008666;alight_edge_003227
ride_edge_000058,ride_9560317118,ride_333802343,110.09820506369394,ride,ride_edge_000051;ride_edge_000053;ride_edge_000055;ride_edge_000057;alight_edge_000009
ride_edge_000059,ride_333802599,ride_1030434659,102.7284390773878,ride,ride_edge_000020;ride_edge_000060;ride_edge_000407;ride_edge_000409;alight_edge_000065
