edge_id,u,v,dist,edge_type
alight_edge_000001,ride_245366634,ew_245366634,0.0,alight
alight_edge_000002,ride_245366694,ew_245366694,0.0,alight
alight_edge_000003,ride_333797343,ew_333797343,0.0,alight
alight_edge_000004,ride_333797496,ew_333797496,0.0,alight
alight_edge_000005,ride_333801115,ew_333801115,0.0,alight
alight_edge_000006,ride_333801534,ew_333801534,0.0,alight
alight_edge_000007,ride_333802153,ew_333802153,0.0,alight
alight_edge_000008,ride_333802241,ew_333802241,0.0,alight
alight_edge_000009,ride_333802343,ew_333802343,0.0,alight
alight_edge_000010,ride_333802599,ew_333802599,0.0,alight
alight_edge_000011,ride_333802982,ew_333802982,0.0,alight
alight_edge_000012,ride_333803154,ew_333803154,0.0,alight
alight_edge_000013,ride_333803181,ew_333803181,0.0,alight
alight_edge_000014,ride_333803294,ew_333803294,0.0,alight
alight_edge_000015,ride_333804172,ew_333804172,0.0,alight
alight_edge_000016,ride_333806758,ew_333806758,0.0,alight
alight_edge_000017,ride_333811802,ew_333811802,0.0,alight
alight_edge_000018,ride_333816262,ew_333816262,0.0,alight
alight_edge_000019,ride_333820518,ew_333820518,0.0,alight
alight_edge_000020,ride_333825267,ew_333825267,0.0,alight
alight_edge_000021,ride_333827569,ew_333827569,0.0,alight
alight_edge_000022,ride_333828306,ew_333828306,0.0,alight
alight_edge_000023,ride_333833129,ew_333833129,0.0,alight
alight_edge_000024,ride_333837298,ew_333837298,0.0,alight
alight_edge_000025,ride_334408953,ew_334408953,0.0,alight
alight_edge_000026,ride_334408954,ew_334408954,0.0,alight
alight_edge_000027,ride_334408955,ew_334408955,0.0,alight
alight_edge_000028,ride_334408956,ew_334408956,0.0,alight
alight_edge_000029,ride_334408957,ew_334408957,0.0,alight
alight_edge_000030,ride_334408960,ew_334408960,0.0,alight
alight_edge_000031,ride_334408961,ew_334408961,0.0,alight
alight_edge_000032,ride_334408962,ew_334408962,0.0,alight
alight_edge_000033,ride_334408965,ew_334408965,0.0,alight
alight_edge_000034,ride_334408969,ew_334408969,0.0,alight
alight_edge_000035,ride_334408970,ew_334408970,0.0,alight
alight_edge_000036,ride_334408974,ew_334408974,0.0,alight
alight_edge_000037,ride_765385692,ew_765385692,0.0,alight
alight_edge_000038,ride_1030432186,ew_1030432186,0.0,alight
alight_edge_000039,ride_1030432308,ew_1030432308,0.0,alight
alight_edge_000040,ride_1030432348,ew_1030432348,0.0,alight
alight_edge_000041,ride_1030432374,ew_1030432374,0.0,alight
alight_edge_000042,ride_1030432456,ew_1030432456,0.0,alight
alight_edge_000043,ride_1030432486,ew_1030432486,0.0,alight
alight_edge_000044,ride_1030432542,ew_1030432542,0.0,alight
alight_edge_000045,ride_1030432602,ew_1030432602,0.0,alight
alight_edge_000046,ride_1030432722,ew_1030432722,0.0,alight
alight_edge_000047,ride_1030433024,ew_1030433024,0.0,alight
alight_edge_000048,ride_1030433060,ew_1030433060,0.0,alight
alight_edge_000049,ride_1030433249,ew_1030433249,0.0,alight
alight_edge_000050,ride_1030433549,ew_1030433549,0.0,alight
alight_edge_000051,ride_1030433795,ew_1030433795,0.0,alight
alight_edge_000052,ride_1030433917,ew_1030433917,0.0,alight
alight_edge_000053,ride_1030434062,ew_1030434062,0.0,alight
alight_edge_000054,ride_1030434227,ew_1030434227,0.0,alight
alight_edge_000055,ride_1030434296,ew_1030434296,0.0,alight
alight_edge_000056,ride_1030434332,ew_1030434332,0.0,alight
alight_edge_000057,ride_1030434357,ew_1030434357,0.0,alight
alight_edge_000058,ride_1030434443,ew_1030434443,0.0,alight
alight_edge_000059,ride_1030434458,ew_1030434458,0.0,alight
alight_edge_000060,ride_1030434476,ew_1030434476,0.0,alight
alight_edge_000061,ride_1030434487,ew_1030434487,0.0,alight
alight_edge_000062,ride_1030434574,ew_1030434574,0.0,alight
alight_edge_000063,ride_1030434607,ew_1030434607,0.0,alight
alight_edge_000064,ride_1030434633,ew_1030434633,0.0,alight
alight_edge_000065,ride_1030434659,ew_1030434659,0.0,alight
alight_edge_000066,ride_1030435099,ew_1030435099,0.0,alight
alight_edge_000067,ride_1030435276,ew_1030435276,0.0,alight
alight_edge_000068,ride_1030435450,ew_1030435450,0.0,alight
alight_edge_000069,ride_1030435789,ew_1030435789,0.0,alight
alight_edge_000070,ride_1030435809,ew_1030435809,0.0,alight
alight_edge_000071,ride_1030435912,ew_1030435912,0.0,alight
alight_edge_000072,ride_1030436061,ew_1030436061,0.0,alight
alight_edge_000073,ride_1030436586,ew_1030436586,0.0,alight
alight_edge_000074,ride_1030441975,ew_1030441975,0.0,alight
alight_edge_000075,ride_1030441976,ew_1030441976,0.0,alight
alight_edge_000076,ride_1030441990,ew_1030441990,0.0,alight
alight_edge_000077,ride_1030442019,ew_1030442019,0.0,alight
alight_edge_000078,ride_1030442035,ew_1030442035,0.0,alight
alight_edge_000079,ride_1030442040,ew_1030442040,0.0,alight
alight_edge_000080,ride_1030442058,ew_1030442058,0.0,alight
alight_edge_000081,ride_1030442063,ew_1030442063,0.0,alight
alight_edge_000082,ride_1030442070,ew_1030442070,0.0,alight
alight_edge_000083,ride_1067667119,ew_1067667119,0.0,alight
alight_edge_000084,ride_1067667176,ew_1067667176,0.0,alight
