edge_id,u,v,dist,edge_type
direct_edge_000001,sw_245366634,ew_245366634,0.0,direct
direct_edge_000002,sw_245366694,ew_245366694,0.0,direct
direct_edge_000003,sw_333797343,ew_333797343,0.0,direct
direct_edge_000004,sw_333797496,ew_333797496,0.0,direct
direct_edge_000005,sw_333797842,ew_333797842,0.0,direct
direct_edge_000006,sw_333801115,ew_333801115,0.0,direct
direct_edge_000007,sw_333801534,ew_333801534,0.0,direct
direct_edge_000008,sw_333802153,ew_333802153,0.0,direct
direct_edge_000009,sw_333802241,ew_333802241,0.0,direct
direct_edge_000010,sw_333802287,ew_333802287,0.0,direct
direct_edge_000011,sw_333802343,ew_333802343,0.0,direct
direct_edge_000012,sw_333802599,ew_333802599,0.0,direct
direct_edge_000013,sw_333802982,ew_333802982,0.0,direct
direct_edge_000014,sw_333803154,ew_333803154,0.0,direct
direct_edge_000015,sw_333803181,ew_333803181,0.0,direct
direct_edge_000016,sw_333803294,ew_333803294,0.0,direct
direct_edge_000017,sw_333803513,ew_333803513,0.0,direct
direct_edge_000018,sw_333804172,ew_333804172,0.0,direct
direct_edge_000019,sw_333806758,ew_333806758,0.0,direct
direct_edge_000020,sw_333811802,ew_333811802,0.0,direct
direct_edge_000021,sw_333816262,ew_333816262,0.0,direct
direct_edge_000022,sw_333819288,ew_333819288,0.0,direct
direct_edge_000023,sw_333820518,ew_333820518,0.0,direct
direct_edge_000024,sw_333825267,ew_333825267,0.0,direct
direct_edge_000025,sw_333827569,ew_333827569,0.0,direct
direct_edge_000026,sw_333828306,ew_333828306,0.0,direct
direct_edge_000027,sw_333833129,ew_333833129,0.0,direct
direct_edge_000028,sw_333833195,ew_333833195,0.0,direct
direct_edge_000029,sw_333837298,ew_333837298,0.0,direct
direct_edge_000030,sw_334408953,ew_334408953,0.0,direct
direct_edge_000031,sw_334408954,ew_334408954,0.0,direct
direct_edge_000032,sw_334408955,ew_334408955,0.0,direct
direct_edge_000033,sw_334408956,ew_334408956,0.0,direct
direct_edge_000034,sw_334408957,ew_334408957,0.0,direct
direct_edge_000035,sw_334408959,ew_334408959,0.0,direct
direct_edge_000036,sw_334408960,ew_334408960,0.0,direct
direct_edge_000037,sw_334408961,ew_334408961,0.0,direct
direct_edge_000038,sw_334408962,ew_334408962,0.0,direct
direct_edge_000039,sw_334408965,ew_334408965,0.0,direct
direct_edge_000040,sw_334408969,ew_334408969,0.0,direct
direct_edge_000041,sw_334408970,ew_334408970,0.0,direct
direct_edge_000042,sw_334408974,ew_334408974,0.0,direct
direct_edge_000043,sw_765385692,ew_765385692,0.0,direct
direct_edge_000044,sw_1030432107,ew_1030432107,0.0,direct
direct_edge_000045,sw_1030432186,ew_1030432186,0.0,direct
direct_edge_000046,sw_1030432308,ew_1030432308,0.0,direct
direct_edge_000047,sw_1030432348,ew_1030432348,0.0,direct
direct_edge_000048,sw_1030432374,ew_1030432374,0.0,direct
direct_edge_000049,sw_1030432456,ew_1030432456,0.0,direct
direct_edge_000050,sw_1030432486,ew_1030432486,0.0,direct
direct_edge_000051,sw_1030432542,ew_1030432542,0.0,direct
direct_edge_000052,sw_1030432575,ew_1030432575,0.0,direct
direct_edge_000053,sw_1030432602,ew_1030432602,0.0,direct
direct_edge_000054,sw_1030432722,ew_1030432722,0.0,direct
direct_edge_000055,sw_1030433024,ew_1030433024,0.0,direct
direct_edge_000056,sw_1030433060,ew_1030433060,0.0,direct
direct_edge_000057,sw_1030433249,ew_1030433249,0.0,direct
direct_edge_000058,sw_1030433518,ew_1030433518,0.0,direct
direct_edge_000059,sw_1030433549,ew_1030433549,0.0,direct
direct_edge_000060,sw_1030433795,ew_1030433795,0.0,direct
direct_edge_000061,sw_1030433917,ew_1030433917,0.0,direct
direct_edge_000062,sw_1030434062,ew_1030434062,0.0,direct
direct_edge_000063,sw_1030434227,ew_1030434227,0.0,direct
direct_edge_000064,sw_1030434296,ew_1030434296,0.0,direct
direct_edge_000065,sw_1030434332,ew_1030434332,0.0,direct
direct_edge_000066,sw_1030434357,ew_1030434357,0.0,direct
direct_edge_000067,sw_1030434443,ew_1030434443,0.0,direct
direct_edge_000068,sw_1030434458,ew_1030434458,0.0,direct
direct_edge_000069,sw_1030434476,ew_1030434476,0.0,direct
direct_edge_000070,sw_1030434487,ew_1030434487,0.0,direct
direct_edge_000071,sw_1030434574,ew_1030434574,0.0,direct
direct_edge_000072,sw_1030434607,ew_1030434607,0.0,direct
direct_edge_000073,sw_1030434633,ew_1030434633,0.0,direct
direct_edge_000074,sw_1030434659,ew_1030434659,0.0,direct
direct_edge_000075,sw_1030435099,ew_1030435099,0.0,direct
direct_edge_000076,sw_1030435276,ew_1030435276,0.0,direct
direct_edge_000077,sw_1030435450,ew_1030435450,0.0,direct
direct_edge_000078,sw_1030435789,ew_1030435789,0.0,direct
direct_edge_000079,sw_1030435809,ew_1030435809,0.0,direct
direct_edge_000080,sw_1030435912,ew_1030435912,0.0,direct
direct_edge_000081,sw_1030436061,ew_1030436061,0.0,direct
direct_edge_000082,sw_1030436586,ew_1030436586,0.0,direct
direct_edge_000083,sw_1030441975,ew_1030441975,0.0,direct
direct_edge_000084,sw_1030441976,ew_1030441976,0.0,direct
direct_edge_000085,sw_1030441990,ew_1030441990,0.0,direct
direct_edge_000086,sw_1030442008,ew_1030442008,0.0,direct
direct_edge_000087,sw_1030442019,ew_1030442019,0.0,direct
direct_edge_000088,sw_1030442035,ew_1030442035,0.0,direct
direct_edge_000089,sw_1030442040,ew_1030442040,0.0,direct
direct_edge_000090,sw_1030442058,ew_1030442058,0.0,direct
direct_edge_000091,sw_1030442063,ew_1030442063,0.0,direct
direct_edge_000092,sw_1030442070,ew_1030442070,0.0,direct
direct_edge_000093,sw_1067667119,ew_1067667119,0.0,direct
direct_edge_000094,sw_1067667176,ew_1067667176,0.0,direct
direct_edge_000095,sw_1067667178,ew_1067667178,0.0,direct
direct_edge_000096,sw_1067687681,ew_1067687681,0.0,direct
direct_edge_000097,sw_1067687745,ew_1067687745,0.0,direct
direct_edge_000098,sw_1067687748,ew_1067687748,0.0,direct
direct_edge_000099,sw_1097695898,ew_1097695898,0.0,direct
direct_edge_000100,sw_1097695904,ew_1097695904,0.0,direct
direct_edge_000101,sw_1097695915,ew_1097695915,0.0,direct
direct_edge_000102,sw_1097695920,ew_1097695920,0.0,direct
direct_edge_000103,sw_1097695923,ew_1097695923,0.0,direct
direct_edge_000104,sw_1097695924,ew_1097695924,0.0,direct
direct_edge_000105,sw_1097695926,ew_1097695926,0.0,direct
direct_edge_000106,sw_1097701580,ew_1097701580,0.0,direct
direct_edge_000107,sw_1097701611,ew_1097701611,0.0,direct
direct_edge_000108,sw_1097701614,ew_1097701614,0.0,direct
direct_edge_000109,sw_1125718846,ew_1125718846,0.0,direct
direct_edge_000110,sw_1125718866,ew_1125718866,0.0,direct
direct_edge_000111,sw_1125718888,ew_1125718888,0.0,direct
direct_edge_000112,sw_1125718893,ew_1125718893,0.0,direct
direct_edge_000113,sw_1125718895,ew_1125718895,0.0,direct
direct_edge_000114,sw_1125728455,ew_1125728455,0.0,direct
direct_edge_000115,sw_1125728456,ew_1125728456,0.0,direct
direct_edge_000116,sw_1125728458,ew_1125728458,0.0,direct
direct_edge_000117,sw_1125728459,ew_1125728459,0.0,direct
direct_edge_000118,sw_1125728464,ew_1125728464,0.0,direct
direct_edge_000119,sw_1125728466,ew_1125728466,0.0,direct
direct_edge_000120,sw_1125728473,ew_1125728473,0.0,direct
direct_edge_000121,sw_1125728476,ew_1125728476,0.0,direct
direct_edge_000122,sw_1125728477,ew_1125728477,0.0,direct
direct_edge_000123,sw_1125728479,ew_1125728479,0.0,direct
direct_edge_000124,sw_1125728483,ew_1125728483,0.0,direct
direct_edge_000125,sw_1125728484,ew_1125728484,0.0,direct
direct_edge_000126,sw_1125728486,ew_1125728486,0.0,direct
direct_edge_000127,sw_1125728492,ew_1125728492,0.0,direct
direct_edge_000128,sw_1125728493,ew_1125728493,0.0,direct
direct_edge_000129,sw_1125728498,ew_1125728498,0.0,direct
direct_edge_000130,sw_1125728501,ew_1125728501,0.0,direct
direct_edge_000131,sw_1125728504,ew_1125728504,0.0,direct
direct_edge_000132,sw_1125728506,ew_1125728506,0.0,direct
direct_edge_000133,sw_1125728510,ew_1125728510,0.0,direct
direct_edge_000134,sw_1125728512,ew_1125728512,0.0,direct
direct_edge_000135,sw_1125728514,ew_1125728514,0.0,direct
direct_edge_000136,sw_1125728515,ew_1125728515,0.0,direct
direct_edge_000137,sw_1125728519,ew_1125728519,0.0,direct
direct_edge_000138,sw_1125728521,ew_1125728521,0.0,direct
direct_edge_000139,sw_1125728523,ew_1125728523,0.0,direct
direct_edge_000140,sw_1125728527,ew_1125728527,0.0,direct
direct_edge_000141,sw_1125728528,ew_1125728528,0.0,direct
direct_edge_000142,sw_1125728531,ew_1125728531,0.0,direct
direct_edge_000143,sw_1125728539,ew_1125728539,0.0,direct
direct_edge_000144,sw_1125728540,ew_1125728540,0.0,direct
direct_edge_000145,sw_1125728541,ew_1125728541,0.0,direct
direct_edge_000146,sw_1125728542,ew_1125728542,0.0,direct
direct_edge_000147,sw_1125735961,ew_1125735961,0.0,direct
direct_edge_000148,sw_1125735999,ew_1125735999,0.0,direct
direct_edge_000149,sw_1125736006,ew_1125736006,0.0,direct
direct_edge_000150,sw_1125736009,ew_1125736009,0.0,direct
direct_edge_000151,sw_1125736011,ew_1125736011,0.0,direct
direct_edge_000152,sw_1125736017,ew_1125736017,0.0,direct
direct_edge_000153,sw_1125736028,ew_1125736028,0.0,direct
direct_edge_000154,sw_1125736039,ew_1125736039,0.0,direct
direct_edge_000155,sw_1125736040,ew_1125736040,0.0,direct
direct_edge_000156,sw_1125736044,ew_1125736044,0.0,direct
direct_edge_000157,sw_1125736372,ew_1125736372,0.0,direct
direct_edge_000158,sw_1125736373,ew_1125736373,0.0,direct
direct_edge_000159,sw_1125743480,ew_1125743480,0.0,direct
direct_edge_000160,sw_1125743482,ew_1125743482,0.0,direct
direct_edge_000161,sw_1125743488,ew_1125743488,0.0,direct
direct_edge_000162,sw_1125743490,ew_1125743490,0.0,direct
direct_edge_000163,sw_1125743491,ew_1125743491,0.0,direct
direct_edge_000164,sw_1125743493,ew_1125743493,0.0,direct
direct_edge_000165,sw_1125743494,ew_1125743494,0.0,direct
direct_edge_000166,sw_1125743502,ew_1125743502,0.0,direct
direct_edge_000167,sw_1125743504,ew_1125743504,0.0,direct
direct_edge_000168,sw_1125743507,ew_1125743507,0.0,direct
direct_edge_000169,sw_1125743517,ew_1125743517,0.0,direct
direct_edge_000170,sw_1125743525,ew_1125743525,0.0,direct
direct_edge_000171,sw_1125743526,ew_1125743526,0.0,direct
direct_edge_000172,sw_1125743537,ew_1125743537,0.0,direct
direct_edge_000173,sw_1125743541,ew_1125743541,0.0,direct
direct_edge_000174,sw_1125743544,ew_1125743544,0.0,direct
direct_edge_000175,sw_1125743548,ew_1125743548,0.0,direct
direct_edge_000176,sw_1125743550,ew_1125743550,0.0,direct
direct_edge_000177,sw_1125743568,ew_1125743568,0.0,direct
direct_edge_000178,sw_1125743577,ew_1125743577,0.0,direct
direct_edge_000179,sw_1125743578,ew_1125743578,0.0,direct
direct_edge_000180,sw_1125743581,ew_1125743581,0.0,direct
direct_edge_000181,sw_1125743610,ew_1125743610,0.0,direct
direct_edge_000182,sw_1125743618,ew_1125743618,0.0,direct
direct_edge_000183,sw_1125743627,ew_1125743627,0.0,direct
direct_edge_000184,sw_1125743632,ew_1125743632,0.0,direct
direct_edge_000185,sw_1125743637,ew_1125743637,0.0,direct
direct_edge_000186,sw_1125743640,ew_1125743640,0.0,direct
direct_edge_000187,sw_1125743644,ew_1125743644,0.0,direct
direct_edge_000188,sw_1125743654,ew_1125743654,0.0,direct
direct_edge_000189,sw_1125743673,ew_1125743673,0.0,direct
direct_edge_000190,sw_1125743675,ew_1125743675,0.0,direct
direct_edge_000191,sw_1125743678,ew_1125743678,0.0,direct
direct_edge_000192,sw_1125744804,ew_1125744804,0.0,direct
direct_edge_000193,sw_1125744816,ew_1125744816,0.0,direct
direct_edge_000194,sw_1125749161,ew_1125749161,0.0,direct
direct_edge_000195,sw_1125749162,ew_1125749162,0.0,direct
direct_edge_000196,sw_1125749168,ew_1125749168,0.0,direct
direct_edge_000197,sw_1125749169,ew_1125749169,0.0,direct
direct_edge_000198,sw_1125749175,ew_1125749175,0.0,direct
direct_edge_000199,sw_1125749181,ew_1125749181,0.0,direct
direct_edge_000200,sw_1125749184,ew_1125749184,0.0,direct
direct_edge_000201,sw_1125749185,ew_1125749185,0.0,direct
direct_edge_000202,sw_1125749186,ew_1125749186,0.0,direct
direct_edge_000203,sw_1125749188,ew_1125749188,0.0,direct
direct_edge_000204,sw_1125749189,ew_1125749189,0.0,direct
direct_edge_000205,sw_1125749198,ew_1125749198,0.0,direct
direct_edge_000206,sw_1125755727,ew_1125755727,0.0,direct
direct_edge_000207,sw_1125755729,ew_1125755729,0.0,direct
direct_edge_000208,sw_1125755733,ew_1125755733,0.0,direct
direct_edge_000209,sw_1125755744,ew_1125755744,0.0,direct
direct_edge_000210,sw_1125755758,ew_1125755758,0.0,direct
direct_edge_000211,sw_1125755762,ew_1125755762,0.0,direct
direct_edge_000212,sw_1125755768,ew_1125755768,0.0,direct
direct_edge_000213,sw_1125755773,ew_1125755773,0.0,direct
direct_edge_000214,sw_1125755775,ew_1125755775,0.0,direct
