edge_id,u,v,dist,edge_type,accessible_nodes
wait_edge_000001,sw_245366634,ride_245366634,0.0,wait,ride_edge_000001;ride_edge_000003;ride_edge_000005;alight_edge_000001
wait_edge_000002,sw_245366694,ride_245366694,0.0,wait,ride_edge_000007;ride_edge_000009;ride_edge_000011;alight_edge_000002
wait_edge_000003,sw_333797343,ride_333797343,0.0,wait,ride_edge_000013;ride_edge_000015;ride_edge_000017;alight_edge_000003
wait_edge_000004,sw_333797496,ride_333797496,0.0,wait,ride_edge_000019;ride_edge_000021;ride_edge_000023;ride_edge_000025;alight_edge_000004
wait_edge_000005,sw_333801115,ride_333801115,0.0,wait,ride_edge_000027;ride_edge_000029;ride_edge_000031;alight_edge_000005
wait_edge_000006,sw_333801534,ride_333801534,0.0,wait,ride_edge_000033;ride_edge_000035;ride_edge_000037;alight_edge_000006
wait_edge_000007,sw_333802153,ride_333802153,0.0,wait,ride_edge_000039;ride_edge_000041;ride_edge_000043;alight_edge_000007
wait_edge_000008,sw_333802241,ride_333802241,0.0,wait,ride_edge_000045;ride_edge_000047;ride_edge_000049;alight_edge_000008
wait_edge_000009,sw_333802343,ride_333802343,0.0,wait,ride_edge_000051;ride_edge_000053;ride_edge_000055;ride_edge_000057;alight_edge_000009
wait_edge_000010,sw_333802599,ride_333802599,0.0,wait,ride_edge_000059;ride_edge_000061;ride_edge_000063;ride_edge_000065;alight_edge_000010
wait_edge_000011,sw_333802982,ride_333802982,0.0,wait,ride_edge_000067;ride_edge_000069;ride_edge_000071;alight_edge_000011
wait_edge_000012,sw_333803154,ride_333803154,0.0,wait,ride_edge_000073;ride_edge_000075;ride_edge_000077;alight_edge_000012
wait_edge_000013,sw_333803181,ride_333803181,0.0,wait,ride_edge_000079;ride_edge_000081;ride_edge_000083;alight_edge_000013
wait_edge_000014,sw_333803294,ride_333803294,0.0,wait,ride_edge_000085;ride_edge_000087;ride_edge_000089;alight_edge_000014
wait_edge_000015,sw_333804172,ride_333804172,0.0,wait,ride_edge_000091;ride_edge_000093;ride_edge_000095;alight_edge_000015
wait_edge_000016,sw_333806758,ride_333806758,0.0,wait,ride_edge_000097;ride_edge_000099;ride_edge_000101;alight_edge_000016
wait_edge_000017,sw_333811802,ride_333811802,0.0,wait,ride_edge_000103;ride_edge_000105;ride_edge_000107;alight_edge_000017
wait_edge_000018,sw_333816262,ride_333816262,0.0,wait,ride_edge_000109;ride_edge_000111;ride_edge_000113;alight_edge_000018
wait_edge_000019,sw_333820518,ride_333820518,0.0,wait,ride_edge_000115;ride_edge_000117;ride_edge_000119;ride_edge_000121;alight_edge_000019
wait_edge_000020,sw_333825267,ride_333825267,0.0,wait,ride_edge_000123;ride_edge_000125;ride_edge_000127;alight_edge_000020
wait_edge_000021,sw_333827569,ride_333827569,0.0,wait,ride_edge_000129;ride_edge_000131;ride_edge_000133;alight_edge_000021
wait_edge_000022,sw_333828306,ride_333828306,0.0,wait,ride_edge_000135;ride_edge_000137;ride_edge_000139;ride_edge_000141;alight_edge_000022
wait_edge_000023,sw_333833129,ride_333833129,0.0,wait,ride_edge_000143;ride_edge_000145;ride_edge_000147;ride_edge_000149;alight_edge_000023
wait_edge_000024,sw_333837298,ride_333837298,0.0,wait,ride_edge_000074;ride_edge_000151;ride_edge_000153;alight_edge_000024
