,shape_length_m,shape_area_m2,shape_compactness,shape_area_to_length,shape_diameter_m,history_turn_ratio,history_turn_count,history_self_intersections,history_sinuosity,topology_node_count,topology_unique_node_count,topology_unique_node_ratio,topology_revisit_count,demand_mean_v_ped,demand_max_v_ped,demand_anchor_mean_v_ped,demand_anchor_max_v_ped,global_reward,global_average_gtc,global_passenger_gtc_std,global_reward_per_km,global_average_gtc_per_km
shape_length_m,1.0,0.7707732885101181,-0.0975751684789202,0.5562085245758583,0.9800158761383733,0.7945692537474197,0.891207109326488,0.7646296899065593,0.35486704289478166,0.891207109326488,0.8284851788489789,-0.2082071854546864,0.7655363326452275,-0.24090511040473755,0.2662958135143797,-0.3797092126806873,-0.2798949958813194,-0.3526830880440212,0.3526830880440212,0.292072229726606,0.10675473843019204,-0.10675473843019204
shape_area_m2,0.7707732885101181,1.0,0.3990053691817596,0.9214975214343855,0.6766318194217129,0.6927704413746868,0.7643083267527315,0.51597466030572,0.5989830220264375,0.7643083267527315,0.849373659672102,0.09412275876135312,0.5099557167662105,-0.3611776189597412,0.29069200711267373,-0.32536287051600843,-0.44447731948375924,-0.37864382739524033,0.37864382739524033,0.31658367902887774,-0.013188574783300863,0.013188574783300863
shape_compactness,-0.0975751684789202,0.3990053691817596,1.0,0.7078775850940172,-0.23212830245996774,0.14749920860176555,0.054030182750386006,-0.2665588103903679,0.6840356512972158,0.054030182750386006,0.35719468804385823,0.7011111399288099,-0.2776217335126506,-0.1695821792580804,0.3424159069843782,-0.060484305140991824,-0.2792840139815489,-0.26660592573975833,0.26660592573975833,0.2401271479493949,-0.4636307299628485,0.4636307299628485
shape_area_to_length,0.5562085245758583,0.9214975214343855,0.7078775850940172,1.0,0.4313210530728464,0.5953034883895376,0.6104912817905364,0.31185088404802935,0.7452198078358618,0.6104912817905364,0.7778953416816196,0.31491558610182613,0.30233959809927713,-0.3361803245374704,0.35698234398523854,-0.2531528515053913,-0.41988619655334597,-0.3958611202247991,0.3958611202247991,0.33710174609170784,-0.1842028080966845,0.1842028080966845
shape_diameter_m,0.9800158761383733,0.6766318194217129,-0.23212830245996774,0.4313210530728464,1.0,0.7134827057134567,0.8742291160274386,0.8043592135019193,0.1722354246976576,0.8742291160274386,0.7601375492612291,-0.31345716259881196,0.8064393054422407,-0.18903387261797064,0.21637583634858432,-0.3573690640847007,-0.22158831138094012,-0.3449571894530252,0.3449571894530252,0.28658849318814644,0.1294978349002826,-0.1294978349002826
history_turn_ratio,0.7945692537474197,0.6927704413746868,0.14749920860176555,0.5953034883895376,0.7134827057134567,1.0,0.7394856531810368,0.5640692070576788,0.5634416029331066,0.7394856531810368,0.7531429041541882,0.010666027665866617,0.5658554843696851,-0.3663686027255785,0.26331686866980253,-0.4532474659965256,-0.47564539319283455,-0.23205858044165506,0.23205858044165506,0.22917635718907164,0.02012250235369583,-0.02012250235369583
history_turn_count,0.891207109326488,0.7643083267527315,0.054030182750386006,0.6104912817905364,0.8742291160274386,0.7394856531810368,1.0,0.8899847550816926,0.35073842865822025,1.0,0.9010989924147256,-0.24365244933906707,0.8890962300802583,-0.051634345539136234,0.3274126399479296,-0.39224223104861633,-0.21739012681482806,-0.46671327797930795,0.46671327797930795,0.40492493245191813,-0.04828352543459895,0.04828352543459895
history_self_intersections,0.7646296899065593,0.51597466030572,-0.2665588103903679,0.31185088404802935,0.8043592135019193,0.5640692070576788,0.8899847550816926,1.0,0.032234689952379054,0.8899847550816926,0.6045303318882476,-0.6440522931374789,0.9996925403992643,0.2012612776628745,0.19884034659062969,-0.22962581699460805,0.0474135456246184,-0.3578703193128525,0.3578703193128525,0.33549576335410614,0.09079923064410195,-0.09079923064410195
history_sinuosity,0.35486704289478166,0.5989830220264375,0.6840356512972158,0.7452198078358618,0.1722354246976576,0.5634416029331066,0.35073842865822025,0.032234689952379054,1.0,0.35073842865822014,0.5870142778122552,0.4986381541939287,0.025811628196171138,-0.31248794626849546,0.34160616707735103,-0.2354919678818502,-0.34166260404941495,-0.23793902989765964,0.23793902989765964,0.19406060384204965,-0.21338746676230522,0.21338746676230522
topology_node_count,0.891207109326488,0.7643083267527315,0.054030182750386006,0.6104912817905364,0.8742291160274386,0.7394856531810368,1.0,0.8899847550816926,0.35073842865822014,1.0,0.9010989924147256,-0.24365244933906707,0.8890962300802583,-0.051634345539136234,0.3274126399479296,-0.39224223104861633,-0.21739012681482806,-0.46671327797930795,0.46671327797930795,0.40492493245191813,-0.04828352543459895,0.04828352543459895
