phase,route_index,route_id,shape_length_m,shape_area_m2,shape_compactness,shape_area_to_length,shape_diameter_m,history_turn_ratio,history_turn_count,history_self_intersections,history_sinuosity,topology_node_count,topology_unique_node_count,topology_unique_node_ratio,topology_revisit_count,demand_mean_v_ped,demand_max_v_ped,demand_anchor_mean_v_ped,demand_anchor_max_v_ped,global_reward,global_average_gtc,global_passenger_gtc_std,global_reward_per_km,global_average_gtc_per_km
B4A pre-training,0,B4A01,57199.46725456124,11423136.759753756,0.003491414478331042,199.70704812539742,22887.292187692965,11.020655591980596,280.0,278,2.499180190713812,281,142,0.505338078291815,139,1.8715398896505078,2.9129472553049527,1.2782430775595608,2.4859806922645635,-17699.967207583428,17699.967207583428,16876.525233360175,-309.4428682143361,309.4428682143361
B4A pre-training,1,B4A02,59111.14933220307,25000095.29812912,0.007154888279515035,422.93366954564283,22217.79122626165,10.972974310934575,254.0,252,2.660532216286789,255,129,0.5058823529411764,126,1.8552766856658118,2.9129472553049527,1.9371935103741698,2.9129472553049527,-9901.966886290127,9901.966886290127,19514.24102508742,-167.5143690852861,167.5143690852861
B4A pre-training,2,B4A03,61371.22526187621,52588250.46694409,0.013962369751450631,856.8877392058832,20271.937338555374,18.238257781132948,240.0,190,3.027398133534763,241,147,0.6099585062240664,94,1.4254034054082034,2.9129472553049527,0.7889898074000475,1.5386622066552922,-176.55611229698115,176.55611229698115,196.7651591197051,-2.8768549355760995,2.8768549355760995
B4A pre-training,3,B4A04,23745.139364426468,8647291.72349997,0.015336655585349341,364.1710242583297,9443.313452574164,7.542337235978147,201.0,172,2.514492342510748,202,117,0.5792079207920792,85,1.9259057287023658,2.9129472553049527,1.580363997055478,2.9129472553049527,-5626.844130941443,5626.844130941443,11092.473168751456,-236.96825041049203,236.96825041049203
B4A pre-training,4,B4A05,33909.189953711444,2423802.5217649415,0.0021079601798691208,71.47922215404176,15471.702072024356,8.422649397037647,141.0,138,2.1916909849902946,142,73,0.5140845070422535,69,1.334533658751286,2.6959206029281253,1.434941036943882,2.1229149972797883,-6852.818799347442,6852.818799347442,13374.89237423047,-202.09326169991223,202.09326169991223
B4A pre-training,5,B4A06,49790.635563412885,25407828.6115615,0.010248780958828555,510.2933176902779,22270.032946217918,9.4811622216859,283.0,280,2.2357683836237316,284,145,0.5105633802816901,139,1.70223774664646,2.9129472553049527,1.5246938412981619,2.741350719248373,-50.90403691607021,50.90403691607021,38.57694911824153,-1.0223616617875726,1.0223616617875726
B4A pre-training,6,B4A07,26385.27018896564,2064418.5529291127,0.002965341133257213,78.24132700344512,10472.813038269824,4.704588366737682,115.0,119,2.519406208489391,116,60,0.5172413793103449,56,1.678669891782845,2.9129472553049527,1.4873365497155935,2.829046429429279,-148.50309113756924,148.50309113756924,100.81557052909513,-5.628257360035429,5.628257360035429
B4A pre-training,7,B4A08,24076.704745720694,8564710.242625698,0.014774696916991433,355.7260153779125,9061.110331827167,9.26043360509008,197.0,174,2.657147288136557,198,113,0.5707070707070707,85,1.9328464206446736,2.9129472553049527,1.6586616406609993,2.479904972811741,-4099.830514412571,4099.830514412571,7967.411374052193,-170.2820447279547,170.2820447279547
B4A pre-training,8,B4A09,46400.85539636992,47448502.125099376,0.0220379165065321,1022.5781770568698,14930.207705443006,10.021147027186897,201.0,110,3.1078506281901137,202,148,0.7326732673267327,54,1.6166282022205003,2.9129472553049527,1.9836123555299792,2.9129472553049527,-142.04990198797796,142.04990198797796,49.863999572198765,-3.0613638644060632,3.0613638644060632
B4A pre-training,9,B4A10,22774.755944820652,3952105.7985436856,0.007619405704088923,173.53010535519957,8825.266242911748,7.864642603520095,172.0,148,2.580631033439112,173,99,0.5722543352601156,74,1.8038035086801016,2.711558020824708,1.8123324162345507,2.7096229453817267,-377.306776950466,377.306776950466,414.0460579723597,-16.56688562830776,16.56688562830776
