route_id,reward,average_gtc,std_gtc,route_length_m,route_area_m2,node_count
B4A01,-17699.967,17699.967,16876.525,57199.467,11423136.76,281
B4A02,-9901.967,9901.967,19514.241,59111.149,25000095.298,255
B4A03,-176.556,176.556,196.765,61371.225,52588250.467,241
B4A04,-5626.844,5626.844,11092.473,23745.139,8647291.723,202
B4A05,-6852.819,6852.819,13374.892,33909.19,2423802.522,142
B4A06,-50.904,50.904,38.577,49790.636,25407828.612,284
B4A07,-148.503,148.503,100.816,26385.27,2064418.553,116
B4A08,-4099.831,4099.831,7967.411,24076.705,8564710.243,198
B4A09,-142.05,142.05,49.864,46400.855,47448502.125,202
B4A10,-377.307,377.307,414.046,22774.756,3952105.799,173
B4A11,-162.62,162.62,37.948,23777.724,3933605.925,128
B4A12,-7352.037,7352.037,9670.559,36710.1,19487035.192,256
B4A13,-19263.616,19263.616,24550.433,32430.746,32673625.607,184
B4A14,-57.638,57.638,36.6,89207.612,48941724.088,340
B4A15,-4985.191,4985.191,9541.804,19254.819,5224361.387,170
B4A16,-2829.344,2829.344,5260.632,23463.2,9678692.127,137
B4A17,-14609.229,14609.229,17992.312,79404.011,48758985.934,348
B4A18,-11112.036,11112.036,13578.365,87633.279,98228090.514,324
B4A19,-15769.398,15769.398,20659.615,72054.483,123929472.368,378
B4A20,-13536.636,13536.636,26797.41,67091.865,43959131.119,309
