route_id,anchors,area_m2,length_m,attempt
B4A01,"[57, 874, 43, 805]",16475950.0,30075.0,1
B4A02,"[3241, 102, 43, 3517]",12019641.0,59400.0,1
B4A03,"[1096, 3138, 171, 721]",29217394.0,100575.0,1
B4A04,"[1090, 63, 1043, 1915]",5550094.0,23154.0,1
B4A05,"[2117, 1681, 1240, 148]",27259550.0,41859.0,1
B4A06,"[2704, 58, 631, 484]",8280963.0,29786.0,1
B4A07,"[852, 2641, 2812, 794]",102852795.0,70098.0,1
B4A08,"[2214, 1012, 489, 1290]",20311112.0,84812.0,1
B4A09,"[1090, 993, 1777, 1680]",22325120.0,34251.0,1
B4A10,"[43, 89, 177, 268]",23333778.0,37422.0,1
B4A11,"[473, 59, 39, 1407]",2855186.0,9443.0,1
B4A12,"[2668, 304, 1681, 1680]",20726917.0,58633.0,1
B4A13,"[101, 61, 3752, 1110]",16466056.0,37890.0,1
B4A14,"[557, 217, 480, 3376]",9597621.0,47288.0,1
B4A15,"[1090, 1399, 1542, 366]",17697237.0,30158.0,1
B4A16,"[922, 101, 809, 2904]",21403607.0,65509.0,1
B4A17,"[251, 1184, 1685, 1043]",17366995.0,31798.0,1
B4A18,"[181, 198, 131, 1383]",6246807.0,53254.0,1
B4A19,"[1109, 42, 3547, 830]",207880551.0,93382.0,1
B4A20,"[241, 248, 70, 2647]",41179289.0,90151.0,1
