,shape_length_m,shape_area_m2,shape_compactness,shape_area_to_length,shape_diameter_m,history_turn_ratio,history_turn_count,history_self_intersections,history_sinuosity,topology_node_count,topology_unique_node_count,topology_unique_node_ratio,topology_revisit_count,demand_mean_v_ped,demand_max_v_ped,demand_anchor_mean_v_ped,demand_anchor_max_v_ped,global_reward,global_average_gtc,global_passenger_gtc_std,global_reward_per_km,global_average_gtc_per_km
shape_length_m,1.0,0.6753239315324773,-0.2555942168106146,0.4600533179864882,0.9605566761168055,0.8911989439596549,0.771203793116048,0.5666997193894482,0.2001626947292223,0.771203793116048,0.8267298853816869,-0.18470142907294032,0.5731588137576399,-0.44989552285073475,0.19575255165863187,-0.11071161187645254,-0.14648584956195027,0.031967499194391985,-0.031967499194391985,0.09616350620411736,0.2778018117587628,-0.2778018117587628
shape_area_m2,0.6753239315324773,1.0,0.39156779000374925,0.9356524330732567,0.48040382685017397,0.5352920911234917,0.30305347364293855,-0.004265763156720047,0.6388554717688432,0.30305347364293855,0.5701284152815395,0.2981081223380883,0.0016806298123420592,-0.6705985459446655,0.0659857294032936,-0.32487920658760655,-0.12931758446787073,-0.2660535529585399,0.2660535529585399,0.3695149191124892,0.04111936632102731,-0.04111936632102731
shape_compactness,-0.2555942168106146,0.39156779000374925,1.0,0.6698110184363789,-0.42161575431378,-0.37728409169930094,-0.49222803743702237,-0.640771048180583,0.6168112025127085,-0.49222803743702237,-0.2374801618105689,0.7021627378718451,-0.6303285512365918,-0.551903582738007,-0.3802970912936952,-0.21215334064541758,0.011716950294791311,-0.43862927196561674,0.43862927196561674,0.30669158586305517,-0.41993290973672165,0.41993290973672165
shape_area_to_length,0.4600533179864882,0.9356524330732567,0.6698110184363789,1.0,0.2491804865302883,0.278032504975772,0.08135756622621546,-0.20944852033052416,0.7214395398865681,0.08135756622621546,0.3752042871270875,0.45067139652455407,-0.2020353437770701,-0.7362919448691729,-0.08210676509292426,-0.3546265922716296,-0.11153355455872388,-0.354492280721506,0.354492280721506,0.3971881687120497,-0.09962152792734703,0.09962152792734703
shape_diameter_m,0.9605566761168055,0.48040382685017397,-0.42161575431378,0.2491804865302883,1.0,0.8708912416902262,0.8685088522585033,0.7115921868065834,-0.06526395208867104,0.8685088522585033,0.8500239968929185,-0.3441397865284636,0.7193223221734992,-0.29953704733704273,0.2355511185496891,-0.026973022633470192,-0.1557487983063671,0.09458551434186849,-0.09458551434186849,0.0456516449900153,0.3032824105613812,-0.3032824105613812
history_turn_ratio,0.8911989439596549,0.5352920911234917,-0.37728409169930094,0.278032504975772,0.8708912416902262,1.0,0.7926783785009505,0.6070187757483507,0.11508259855152109,0.7926783785009505,0.8260186470990997,-0.23610293448710348,0.6107502871013916,-0.2789756611945124,0.33611082607029946,-0.11144734263485197,-0.20335391661093713,0.015346968985139372,-0.015346968985139372,0.09783264978736428,0.21719043967820428,-0.21719043967820428
history_turn_count,0.771203793116048,0.30305347364293855,-0.49222803743702237,0.08135756622621546,0.8685088522585033,0.7926783785009505,1.0,0.9030988826561838,-0.33234317470193375,1.0,0.8897369438011922,-0.6104205705926993,0.9093312112314542,0.016112298306958317,0.42604885027309136,-0.0374411048400715,-0.3166722720740049,0.09548780956732278,-0.09548780956732278,0.0774932424929124,0.2751805615843491,-0.2751805615843491
history_self_intersections,0.5666997193894482,-0.004265763156720047,-0.640771048180583,-0.20944852033052416,0.7115921868065834,0.6070187757483507,0.9030988826561838,1.0,-0.4876515309819452,0.9030988826561838,0.6095891706354838,-0.8608666019167622,0.9979832050168798,0.3274574485472964,0.3665491222834346,0.13394782751258796,-0.3230342748008017,0.23705124487058693,-0.23705124487058693,-0.052355122035289976,0.3383719419491595,-0.3383719419491595
history_sinuosity,0.2001626947292223,0.6388554717688432,0.6168112025127085,0.7214395398865681,-0.06526395208867104,0.11508259855152109,-0.33234317470193375,-0.4876515309819452,1.0,-0.33234317470193364,-0.08788974258609436,0.6123692306336393,-0.49162601895201963,-0.6502356461872412,-0.272875038455998,-0.30458888603867873,0.05577435329162996,-0.2319311034782424,0.2319311034782424,0.1289135019894632,-0.14495668947774887,0.14495668947774887
topology_node_count,0.771203793116048,0.30305347364293855,-0.49222803743702237,0.08135756622621546,0.8685088522585033,0.7926783785009505,1.0,0.9030988826561838,-0.33234317470193364,1.0,0.8897369438011922,-0.6104205705926993,0.9093312112314542,0.016112298306958317,0.42604885027309136,-0.0374411048400715,-0.3166722720740049,0.09548780956732278,-0.09548780956732278,0.0774932424929124,0.2751805615843491,-0.2751805615843491
topology_unique_node_count,0.8267298853816869,0.5701284152815395,-0.2374801618105689,0.3752042871270875,0.8500239968929185,0.8260186470990997,0.8897369438011922,0.6095891706354838,-0.08788974258609436,0.8897369438011922,1.0,-0.21721036369324512,0.6191392181617688,-0.31369214484146873,0.4070446834886888,-0.2532120753683707,-0.26877543949365923,-0.07413296083751228,0.07413296083751228,0.19849346714742352,0.1548683126539661,-0.1548683126539661
topology_unique_node_ratio,-0.18470142907294032,0.2981081223380883,0.7021627378718451,0.45067139652455407,-0.3441397865284636,-0.23610293448710348,-0.6104205705926993,-0.8608666019167622,0.6123692306336393,-0.6104205705926993,-0.21721036369324512,1.0,-0.8521334692099172,-0.6601530619803447,-0.4172317472208384,-0.2594441812810003,0.17765657194320525,-0.33375778101487474,0.33375778101487474,0.13511410262389847,-0.3527133933581104,0.3527133933581104
topology_revisit_count,0.5731588137576399,0.0016806298123420592,-0.6303285512365918,-0.2020353437770701,0.7193223221734992,0.6107502871013916,0.9093312112314542,0.9979832050168798,-0.49162601895201963,0.9093312112314542,0.6191392181617688,-0.8521334692099172,1.0,0.31364686151371274,0.36192203648391497,0.16639058293341324,-0.29979079113090334,0.2318414553862102,-0.2318414553862102,-0.047612355042601716,0.3322373952168932,-0.3322373952168932
