phase,route_index,route_id,shape_length_m,shape_area_m2,shape_compactness,shape_area_to_length,shape_diameter_m,history_turn_ratio,history_turn_count,history_self_intersections,history_sinuosity,topology_node_count,topology_unique_node_count,topology_unique_node_ratio,topology_revisit_count,demand_mean_v_ped,demand_max_v_ped,demand_anchor_mean_v_ped,demand_anchor_max_v_ped,global_reward,global_average_gtc,global_passenger_gtc_std,global_reward_per_km,global_average_gtc_per_km
pre-training,0,B4A01,111918.2718752987,85061075.8149424,0.0067909241535534315,760.0284957019256,44271.49615319687,19.295463737558958,486.0,484,2.5279984098124277,487,246,0.5051334702258727,241,1.6364228113334305,2.9129472553049527,1.1057611982540287,1.587956455823222,-11757.983751664755,11757.983751664755,21234.524099206956,-105.05866070524844,105.05866070524844
pre-training,1,B4A02,13781.380731433854,2166744.087262195,0.011408332182082419,157.22256931194738,5769.291321022961,6.040195493423416,130.0,38,2.388747588670953,131,112,0.8549618320610687,19,1.6401666468370253,2.9129472553049527,1.8858858155872962,2.64757724432814,-7227.567147173504,7227.567147173504,12416.363644956726,-524.4443418276803,524.4443418276803
pre-training,2,B4A03,71124.05180508409,32186364.895875167,0.0063626634394282075,452.5384040842063,26672.75814360775,14.8630695406701,338.0,336,2.6665428232861363,339,172,0.5073746312684366,167,1.7486749674131323,2.9129472553049527,1.8666122653755726,2.5141965325712894,-170.86160674441535,170.86160674441535,120.7113957503841,-2.402304177111038,2.402304177111038
pre-training,3,B4A04,65044.95747620277,27643828.566569,0.006533876521347848,424.9957204858305,26254.157992106073,11.29484607315711,311.0,282,2.477510704999949,312,172,0.5512820512820513,140,1.831672347484672,2.9129472553049527,1.490545813971402,1.5777152647067127,-3884.0986629556523,3884.0986629556523,9803.264510447218,-59.71406260626247,59.71406260626247
pre-training,4,B4A05,33005.613752598554,13469840.289936835,0.012364792148689099,408.1075537907955,15604.986541709877,4.3322392459536365,165.0,162,2.115068389477896,166,86,0.5180722891566265,80,1.6594796510292706,2.9129472553049527,1.6544278915480175,2.573678471438322,-14001.031417049431,14001.031417049431,19669.582168170793,-424.20151680854957,424.20151680854957
pre-training,5,B4A06,62028.78765220388,28935367.170062408,0.007520425470591086,466.48287456951994,21740.036575036418,17.965732024810876,235.0,76,2.8532053034091995,236,200,0.847457627118644,36,1.4483603228934239,2.9129472553049527,1.7112920440178896,2.4865648677026164,-5640.138020443909,5640.138020443909,14320.434244042717,-90.92774877478224,90.92774877478224
pre-training,6,B4A07,65851.11112518489,49730845.64714205,0.011468315432361145,755.2013139550866,26788.662759013518,11.89209026885832,349.0,348,2.458170895560217,350,177,0.5057142857142857,173,1.7795661987740046,2.9129472553049527,1.6007389828835643,2.7096229453817267,-136.54308890212155,136.54308890212155,88.49103259410104,-2.0735123002336158,2.0735123002336158
pre-training,7,B4A08,66244.46049203438,93073912.78231038,0.021209422177306723,1405.0067294834732,21002.985544392348,15.962147930825418,268.0,157,3.1540497112669392,269,193,0.7174721189591078,76,1.6750900307983976,2.9129472553049527,1.5963863441531692,2.64757724432814,-10633.90054057525,10633.90054057525,14756.339885947946,-160.52512861590793,160.52512861590793
pre-training,8,B4A09,61075.37790445631,19909516.973025844,0.005337383368060779,325.9827062252719,25814.702621531764,9.486058786272961,264.0,148,2.365914448052328,265,192,0.7245283018867924,73,1.4204768883722723,2.9129472553049527,0.9276461385983881,1.7956462887921534,-3612.6223189169286,3612.6223189169286,9017.229230751014,-59.15022457279527,59.15022457279527
pre-training,9,B4A10,54074.53201460642,21152505.128550924,0.007233962780252915,391.1731519532575,21941.340301353448,13.194263039659253,309.0,211,2.4645045048260266,310,205,0.6612903225806451,105,1.5757346844885676,2.9129472553049527,1.548142582179015,2.503636694423311,-3193.8922419643714,3193.8922419643714,8170.424510688704,-59.06463029770926,59.06463029770926
pre-training,10,B4A11,32109.367718434267,19290665.992748488,0.01871042765391664,600.7800017087708,10030.331102722883,7.816916615382764,160.0,131,3.2012270970514325,161,98,0.6086956521739131,63,1.6078893268405743,2.9129472553049527,1.3672888614347583,2.527585234704265,-12047.45399647235,12047.45399647235,23325.93681708463,-375.20059884442395,375.20059884442395
pre-training,11,B4A12,33381.018144834714,9825320.100461787,0.008817542275215464,294.33853868181455,13475.280054077635,8.14435522236789,204.0,207,2.4772040366414187,205,103,0.5024390243902439,102,1.4266910187321078,2.342556497600636,1.3554616676761513,1.7885601945234404,-131.09801868599317,131.09801868599317,129.43263762933668,-3.9273223517982756,3.9273223517982756
pre-training,12,B4A13,94148.60363416662,143623402.30998614,0.016203075074555012,1525.4968928489245,31364.734506574663,15.639264325791327,428.0,399,3.001734435674283,429,232,0.5407925407925408,197,1.68274398979972,2.9129472553049527,1.0271444760337494,1.2874832341619589,-1924.3072635968028,1924.3072635968028,4768.869428975558,-20.439041996566264,20.439041996566264
pre-training,13,B4A14,69422.44002094936,26233604.143892564,0.005443249144871119,377.8836372788992,28297.75582734075,12.083499005620267,381.0,378,2.453284297331972,382,194,0.5078534031413613,188,1.7534480501503242,2.9129472553049527,1.8137958684391897,2.574075465154805,-157.53078475183054,157.53078475183054,95.45050969816388,-2.2691623155897864,2.2691623155897864
pre-training,14,B4A15,40319.369312627714,27640402.781234574,0.01700266143823956,685.5365858259547,11299.079320864048,9.791973485870427,146.0,50,3.568376517029749,147,124,0.8435374149659864,23,1.4999923414674796,2.9129472553049527,0.752356187270982,2.052495116568226,-2233.944047422335,2233.944047422335,5528.668575746366,-55.40622498583283,55.40622498583283
pre-training,15,B4A16,25208.16958924969,6363193.6323580295,0.010013652478067755,252.42584987494234,9822.133676125559,7.624882980008209,156.0,167,2.566465741605882,157,80,0.5095541401273885,77,2.0785656072580574,2.9129472553049527,1.364257226762284,2.711558020824708,-204.1146670183065,204.1146670183065,78.75422990443708,-8.097163353953059,8.097163353953059
pre-training,16,B4A17,80578.877354735,150514290.43565765,0.023181167805295184,1867.9124775224122,24451.898073783806,18.5627899338934,295.0,209,3.295403780581269,296,194,0.6554054054054054,102,1.3738052269512062,2.9129472553049527,1.0793602723038596,1.7923477553362988,-3640.7724767303234,3640.7724767303234,9203.624108377377,-45.18271532504025,45.18271532504025
pre-training,17,B4A18,53368.275534410495,54086604.02597083,0.018989930452776575,1013.459840783073,20218.65926928104,8.690617653783757,203.0,150,2.6395556116569456,204,132,0.6470588235294118,72,1.695263628733585,2.9129472553049527,1.6931938550794818,2.5257110741468747,-5183.955150346261,5183.955150346261,8749.844028752477,-97.13551915320517,97.13551915320517
pre-training,18,B4A19,26892.60832575785,10656364.129914114,0.014734764485301685,396.25625007550514,6767.025155149629,10.4235394919928,69.0,45,3.974066552019964,70,50,0.7142857142857143,20,1.1738250488401019,2.6959206029281253,1.4634164996410908,2.0691574278249476,-6172.456443787454,6172.456443787454,15844.051968414175,-229.52241630929677,229.52241630929677
pre-training,19,B4A20,57327.501500369595,28396594.538833268,0.008640527001028048,495.3398246154194,20668.807581571455,13.34315379041405,304.0,294,2.7736240358385964,305,160,0.5245901639344263,145,1.7869845735337926,2.9129472553049527,1.1527567633270082,2.340484204021454,-3310.005799088394,3310.005799088394,8377.016459934526,-57.73853233542812,57.73853233542812
