episode_index,episode_return,terminated_reason,closure_mode,closed_loop,fitness_reward,average_gtc,std_gtc,route_node_count,route_path_node_ids
1,-7491.43603515625,closed_loop,forced,True,-7490.436199067159,7490.436199067159,,3,"[1010, 3508, 1010]"
2,-170.73639352214968,closed_loop,forced,True,-168.7362922450689,168.7362922450689,,5,"[110, 850, 848, 850, 110]"
3,-103.16142272949219,closed_loop,forced,True,-102.16142326854889,102.16142326854889,,3,"[3499, 3500, 3499]"
4,-15862.95996938278,closed_loop,forced,True,-15861.959829842735,8856.073027994056,,3,"[2007, 2597, 2007]"
5,-8259.219748947562,closed_loop,forced,True,-8258.219336232605,4615.489812218972,,3,"[3306, 3307, 3306]"
6,-11053.647467277307,closed_loop,forced,True,-11051.647458193009,10380.82406860977,,3,"[1591, 1592, 1591]"
7,-21658.12109375,closed_loop,forced,True,-21657.12081078827,21657.12081078827,,3,"[529, 802, 529]"
8,-15128.03125,closed_loop,forced,True,-15127.031167294477,12154.923835125259,,3,"[782, 773, 782]"
9,-11201.6748046875,closed_loop,forced,True,-11200.674911541475,5712.428669648285,,3,"[1365, 483, 1365]"
10,-5171.619140625,closed_loop,forced,True,-5170.619168477716,2221.3782913822383,,3,"[3679, 3677, 3679]"
11,-11804.846690632272,closed_loop,forced,True,-11803.847039808976,11803.847039808976,,3,"[2600, 2599, 2600]"
12,-23500.78125,closed_loop,forced,True,-23499.78201346117,11790.938955313555,,3,"[1677, 1679, 1677]"
13,-16884.697265625,closed_loop,forced,True,-16882.69771188144,11860.00110816803,,3,"[2426, 2420, 2426]"
14,-23914.54493992425,closed_loop,forced,True,-23913.545067080726,13991.654571836356,,3,"[500, 518, 500]"
15,-208.98388182523104,closed_loop,forced,True,-205.98326155725542,205.98326155725542,,5,"[854, 2083, 2082, 2083, 854]"
16,-234.80711643078007,closed_loop,forced,True,-233.8071194365234,233.8071194365234,,3,"[3353, 3350, 3353]"
17,-13618.492224976682,closed_loop,forced,True,-13617.49263162483,6883.18327594074,,3,"[3317, 3633, 3317]"
18,-13797.8525390625,closed_loop,forced,True,-13796.852250744483,6980.175838682264,,3,"[1780, 2488, 1780]"
19,-7058.710452161972,closed_loop,forced,True,-7057.710299538027,3580.662648515629,,3,"[457, 458, 457]"
20,-5453.952168203343,closed_loop,forced,True,-5451.952245673675,2790.031320975248,,3,"[576, 563, 576]"
21,-3941.0563885099427,closed_loop,forced,True,-3938.5772160647793,2082.4159336500734,,6,"[1904, 1907, 1905, 1908, 1907, 1904]"
22,-7146.464847240888,closed_loop,forced,True,-7142.464686840842,3626.8880951823025,,3,"[716, 698, 716]"
23,-18927.9726616401,closed_loop,forced,True,-18926.97344537119,18926.97344537119,,3,"[3741, 3742, 3741]"
24,-13375.5380859375,closed_loop,forced,True,-13374.53761538478,8639.393840521234,,3,"[3444, 3436, 3444]"
25,-6708.6494140625,closed_loop,forced,True,-6707.649377554776,4883.717239968799,,3,"[3658, 2554, 3658]"
26,-8999.8427734375,closed_loop,forced,True,-8998.842839593613,5067.289102716342,,3,"[1843, 1841, 1843]"
27,-4342.08203125,closed_loop,forced,True,-4341.081835883164,4341.081835883164,,3,"[2413, 2478, 2413]"
28,-143.20264240438974,closed_loop,forced,True,-139.05938989054147,139.05938989054147,,13,"[2390, 1095, 1092, 1094, 2560, 1094, 2392, 2391, 2384, 2387, 2386, 2389, 2390]"
29,-6304.33837890625,closed_loop,forced,True,-6303.338341035877,6303.338341035877,,3,"[2711, 2708, 2711]"
30,-7282.16162109375,closed_loop,forced,True,-7280.16172195101,3855.6933045286,,3,"[2644, 2645, 2644]"
31,-53.710479736328125,closed_loop,forced,True,-52.71047959890787,52.71047959890787,,3,"[305, 2136, 305]"
32,-20508.660438918767,closed_loop,forced,True,-20507.143351936993,20507.143351936993,,6,"[127, 281, 294, 295, 280, 127]"
33,-162.18294193339716,closed_loop,forced,True,-161.18293500686588,129.35937776294458,,3,"[2252, 2251, 2252]"
34,-6480.736331601256,closed_loop,forced,True,-6478.736167071431,3280.0577407667233,,3,"[2436, 2703, 2436]"
35,-28938.595717680964,closed_loop,forced,True,-28937.594952098196,14538.714329905872,,3,"[3638, 3636, 3638]"
36,-1988.602294921875,closed_loop,forced,True,-1987.6022555932957,1987.6022555932957,,3,"[3002, 3000, 3002]"
37,-14165.347665812928,closed_loop,forced,True,-14163.347814484077,7186.654055981272,,3,"[547, 552, 547]"
38,-12544.9677734375,closed_loop,forced,True,-12543.967566342126,6319.234469772085,,3,"[1946, 306, 1946]"
39,-23199.88086569901,closed_loop,forced,True,-23198.88150342757,11653.811141851576,,3,"[1702, 1700, 1702]"
40,-280.11811698711153,closed_loop,forced,True,-279.11810304235325,176.37998547019302,,3,"[220, 2744, 220]"
41,-11823.6474609375,closed_loop,forced,True,-11822.646980384487,9583.470216474221,,3,"[1022, 1025, 1022]"
42,-7287.938485371734,closed_loop,forced,True,-7284.938322621629,7284.938322621629,,3,"[11, 534, 11]"
43,-9468.825198045588,closed_loop,forced,True,-9467.825629244018,4778.840814958698,,3,"[3361, 3358, 3361]"
44,-13777.71582314921,closed_loop,forced,True,-13771.715644345346,7907.24200420068,,3,"[2423, 2422, 2423]"
45,-67.08818817138672,closed_loop,forced,True,-66.08818471219705,66.08818471219705,,3,"[3139, 3138, 3139]"
46,-125.10680245801541,closed_loop,forced,True,-123.43327426736487,123.43327426736487,,5,"[746, 745, 744, 745, 746]"
47,-185.94606600889892,closed_loop,forced,True,-181.94605023718054,142.00286037661778,,3,"[3563, 3564, 3563]"
48,-22544.078130381946,closed_loop,forced,True,-22540.078119493483,14958.409537724392,,3,"[1062, 1057, 1062]"
49,-12241.2451171875,closed_loop,forced,True,-12239.245533198184,5147.890100442897,,3,"[2826, 2093, 2826]"
50,-88.61372375488281,closed_loop,forced,True,-87.6137227076641,87.6137227076641,,3,"[118, 114, 118]"
51,-5180.99365234375,closed_loop,forced,True,-5179.993716933986,2613.352759144183,,3,"[2564, 2562, 2564]"
